year,destination,inflow,outflow,net_migration,state,unemployment_rate
2016,Wyoming,26471,27184,-713,Wyoming,5.3
2017,Alabama,111803,101466,10337,Alabama,4.5
2017,Alaska,30199,42972,-12773,Alaska,6.6
2017,Arizona,261727,163214,98513,Arizona,5.0
2017,Arkansas,79411,69850,9561,Arkansas,3.7
2017,California,523131,661026,-137895,California,4.8
2017,Colorado,226933,194296,32637,Colorado,2.6
2017,Connecticut,83325,98971,-15646,Connecticut,4.4
2017,Delaware,38532,35653,2879,Delaware,4.4
2017,District of Columbia,56231,65018,-8787,District of Columbia,6.1
2017,Florida,566476,447586,118890,Florida,4.3
2017,Georgia,278889,254956,23933,Georgia,4.8
2017,Hawaii,46457,66597,-20140,Hawaii,2.2
2017,Idaho,71899,56954,14945,Idaho,3.2
2017,Illinois,195092,339435,-144343,Illinois,5.0
2017,Indiana,142290,132094,10196,Indiana,3.5
2017,Iowa,77072,79358,-2286,Iowa,3.1
2017,Kansas,86154,99660,-13506,Kansas,3.6
2017,Kentucky,103985,99490,4495,Kentucky,4.8
2017,Louisiana,72836,102212,-29376,Louisiana,5.1
2017,Maine,34252,27425,6827,Maine,3.4
2017,Maryland,165654,183900,-18246,Maryland,4.1
2017,Massachusetts,146299,173033,-26734,Massachusetts,3.8
2017,Michigan,148787,148059,728,Michigan,4.6
2017,Minnesota,115623,125130,-9507,Minnesota,3.4
2017,Mississippi,73549,78043,-4494,Mississippi,5.2
2017,Missouri,164957,153284,11673,Missouri,3.8
2017,Montana,35456,28012,7444,Montana,4.1
2017,Nebraska,52507,47760,4747,Nebraska,3.0
2017,Nevada,133074,98226,34848,Nevada,5.0
2017,New Hampshire,52893,41740,11153,New Hampshire,2.8
2017,New Jersey,152106,224961,-72855,New Jersey,4.5
2017,New Mexico,57255,67296,-10041,New Mexico,6.1
2017,New York,285252,452580,-167328,New York,4.6
2017,North Carolina,313834,243206,70628,North Carolina,4.5
2017,North Dakota,37315,37344,-29,North Dakota,2.6
2017,Ohio,198929,206479,-7550,Ohio,4.9
2017,Oklahoma,101961,96005,5956,Oklahoma,4.0
2017,Oregon,149513,109454,40059,Oregon,4.1
2017,Pennsylvania,250120,254634,-4514,Pennsylvania,5.0
2017,Rhode Island,36850,30166,6684,Rhode Island,4.5
2017,South Carolina,166573,128797,37776,South Carolina,4.2
2017,South Dakota,26106,27412,-1306,South Dakota,3.0
2017,Tennessee,191909,155665,36244,Tennessee,3.7
2017,Texas,524511,467338,57173,Texas,4.4
2017,Utah,99584,89721,9863,Utah,3.1
2017,Vermont,21868,20872,996,Vermont,2.9
2017,Virginia,250490,262563,-12073,Virginia,3.6
2017,Washington,260787,198813,61974,Washington,4.7
2017,West Virginia,40007,43321,-3314,West Virginia,5.2
2017,Wisconsin,112519,113492,-973,Wisconsin,3.3
2017,Wyoming,18511,25954,-7443,Wyoming,4.3
2018,Alabama,109301,98194,11107,Alabama,3.9
2018,Alaska,32099,39246,-7147,Alaska,6.1
2018,Arizona,273714,179586,94128,Arizona,4.8
2018,Arkansas,73179,69724,3455,Arkansas,3.6
2018,California,501023,691145,-190122,California,4.3
2018,Colorado,239153,203460,35693,Colorado,3.0
2018,Connecticut,84718,114235,-29517,Connecticut,3.9
2018,Delaware,34451,33395,1056,Delaware,3.7
2018,District of Columbia,47555,60363,-12808,District of Columbia,5.7
2018,Florida,587261,470977,116284,Florida,3.6
2018,Georgia,274273,231337,42936,Georgia,4.0
2018,Hawaii,54074,67293,-13219,Hawaii,2.4
2018,Idaho,79765,55183,24582,Idaho,2.9
2018,Illinois,206620,305033,-98413,Illinois,4.4
2018,Indiana,145256,136563,8693,Indiana,3.4
2018,Iowa,74199,70659,3540,Iowa,2.6
2018,Kansas,95748,96850,-1102,Kansas,3.3
2018,Kentucky,110456,100514,9942,Kentucky,4.2
