destination,origin,flow,year
Kentucky,Connecticut,511,2021
Louisiana,Connecticut,1107,2021
Maine,Connecticut,2739,2021
Maryland,Connecticut,1999,2021
Massachusetts,Connecticut,12795,2021
Michigan,Connecticut,832,2021
Minnesota,Connecticut,264,2021
Mississippi,Connecticut,0,2021
Missouri,Connecticut,151,2021
Montana,Connecticut,609,2021
Nebraska,Connecticut,0,2021
Nevada,Connecticut,141,2021
New Hampshire,Connecticut,1726,2021
New Jersey,Connecticut,2061,2021
New Mexico,Connecticut,131,2021
New York,Connecticut,12538,2021
North Carolina,Connecticut,4741,2021
North Dakota,Connecticut,47,2021
Ohio,Connecticut,1166,2021
Oklahoma,Connecticut,19,2021
Oregon,Connecticut,249,2021
Pennsylvania,Connecticut,3973,2021
Rhode Island,Connecticut,2753,2021
South Carolina,Connecticut,2836,2021
South Dakota,Connecticut,0,2021
Tennessee,Connecticut,1462,2021
Texas,Connecticut,2506,2021
Utah,Connecticut,171,2021
Vermont,Connecticut,1221,2021
Virginia,Connecticut,3396,2021
Washington,Connecticut,1536,2021
West Virginia,Connecticut,568,2021
Wisconsin,Connecticut,346,2021
Wyoming,Connecticut,6,2021
Alabama,Delaware,43,2021
Alaska,Delaware,339,2021
Arizona,Delaware,1554,2021
Arkansas,Delaware,68,2021
California,Delaware,1012,2021
Colorado,Delaware,643,2021
Connecticut,Delaware,488,2021
District of Columbia,Delaware,3560,2021
Florida,Delaware,4732,2021
Georgia,Delaware,779,2021
Hawaii,Delaware,0,2021
Idaho,Delaware,0,2021
Illinois,Delaware,66,2021
Indiana,Delaware,66,2021
Iowa,Delaware,0,2021
Kansas,Delaware,0,2021
Kentucky,Delaware,66,2021
Louisiana,Delaware,0,2021
Maine,Delaware,35,2021
Maryland,Delaware,6322,2021
Massachusetts,Delaware,210,2021
Michigan,Delaware,1001,2021
Minnesota,Delaware,41,2021
Mississippi,Delaware,0,2021
Missouri,Delaware,0,2021
Montana,Delaware,0,2021
Nebraska,Delaware,313,2021
Nevada,Delaware,720,2021
New Hampshire,Delaware,38,2021
New Jersey,Delaware,2044,2021
New Mexico,Delaware,0,2021
New York,Delaware,1521,2021
North Carolina,Delaware,762,2021
North Dakota,Delaware,0,2021
Ohio,Delaware,238,2021
Oklahoma,Delaware,85,2021
Oregon,Delaware,94,2021
Pennsylvania,Delaware,6699,2021
Rhode Island,Delaware,5,2021
South Carolina,Delaware,71,2021
South Dakota,Delaware,0,2021
Tennessee,Delaware,249,2021
Texas,Delaware,756,2021
Utah,Delaware,498,2021
Vermont,Delaware,41,2021
Virginia,Delaware,1270,2021
Washington,Delaware,0,2021
West Virginia,Delaware,42,2021
Wisconsin,Delaware,0,2021
Wyoming,Delaware,0,2021
Alabama,District of Columbia,275,2021
Alaska,District of Columbia,0,2021
Arizona,District of Columbia,498,2021
Arkansas,District of Columbia,181,2021
California,District of Columbia,4009,2021
Colorado,District of Columbia,2406,2021
Connecticut,District of Columbia,393,2021
Delaware,District of Columbia,604,2021
Florida,District of Columbia,1917,2021
Georgia,District of Columbia,920,2021
Hawaii,District of Columbia,433,2021
Idaho,District of Columbia,0,2021
Illinois,District of Columbia,1282,2021
Indiana,District of Columbia,171,2021
Iowa,District of Columbia,0,2021
Kansas,District of Columbia,0,2021
Kentucky,District of Columbia,391,2021
Louisiana,District of Columbia,325,2021
Maine,District of Columbia,103,2021
Maryland,District of Columbia,20950,2021
Massachusetts,District of Columbia,1328,2021
Michigan,District of Columbia,593,2021
Minnesota,District of Columbia,211,2021
Mississippi,District of Columbia,0,2021
Missouri,District of Columbia,553,2021
Montana,District of Columbia,0,2021
Nebraska,District of Columbia,0,2021
Nevada,District of Columbia,49,2021
New Hampshire,District of Columbia,357,2021
New Jersey,District of Columbia,926,2021
New Mexico,District of Columbia,344,2021
New York,District of Columbia,3010,2021
North Carolina,District of Columbia,653,2021
North Dakota,District of Columbia,0,2021
Ohio,District of Columbia,363,2021
Oklahoma,District of Columbia,670,2021
Oregon,District of Columbia,351,2021
Pennsylvania,District of Columbia,1825,2021
Rhode Island,District of Columbia,76,2021
South Carolina,District of Columbia,798,2021
South Dakota,District of Columbia,0,2021
Tennessee,District of Columbia,281,2021
Texas,District of Columbia,1198,2021
Utah,District of Columbia,175,2021
Vermont,District of Columbia,195,2021
Virginia,District of Columbia,13211,2021
Washington,District of Columbia,203,2021
West Virginia,District of Columbia,0,2021
Wisconsin,District of Columbia,280,2021
Wyoming,District of Columbia,114,2021
Alabama,Florida,22507,2021
Alaska,Florida,2163,2021
Arizona,Florida,6748,2021
Arkansas,Florida,1655,2021
California,Florida,24692,2021
Colorado,Florida,18661,2021
Connecticut,Florida,6534,2021
Delaware,Florida,1650,2021
District of Columbia,Florida,2581,2021
Georgia,Florida,49163,2021
Hawaii,Florida,2527,2021
Idaho,Florida,1322,2021
Illinois,Florida,10647,2021
Indiana,Florida,10336,2021
Iowa,Florida,4548,2021
Kansas,Florida,2926,2021
Kentucky,Florida,8392,2021
Louisiana,Florida,6004,2021
Maine,Florida,4322,2021
Maryland,Florida,7927,2021
Massachusetts,Florida,10894,2021
Michigan,Florida,13202,2021
Minnesota,Florida,2712,2021
Mississippi,Florida,2512,2021
Missouri,Florida,5622,2021
Montana,Florida,1566,2021
Nebraska,Florida,1806,2021
Nevada,Florida,6372,2021
New Hampshire,Florida,2758,2021
New Jersey,Florida,7930,2021
New Mexico,Florida,4563,2021
New York,Florida,24444,2021
North Carolina,Florida,37071,2021
North Dakota,Florida,1272,2021
Ohio,Florida,14785,2021
Oklahoma,Florida,4484,2021
Oregon,Florida,2683,2021
Pennsylvania,Florida,15020,2021
Rhode Island,Florida,2176,2021
South Carolina,Florida,14905,2021
South Dakota,Florida,659,2021
Tennessee,Florida,20809,2021
Texas,Florida,31023,2021
Utah,Florida,3093,2021
Vermont,Florida,1172,2021
Virginia,Florida,20603,2021
Washington,Florida,9637,2021
West Virginia,Florida,3835,2021
Wisconsin,Florida,5123,2021
Wyoming,Florida,1541,2021
Alabama,Georgia,15873,2021
Alaska,Georgia,1551,2021
Arizona,Georgia,3474,2021
Arkansas,Georgia,708,2021
California,Georgia,9111,2021
Colorado,Georgia,6419,2021
Connecticut,Georgia,1255,2021
Delaware,Georgia,130,2021
District of Columbia,Georgia,1662,2021
Florida,Georgia,44723,2021
Hawaii,Georgia,3835,2021
Idaho,Georgia,421,2021
Illinois,Georgia,4791,2021
Indiana,Georgia,2782,2021
Iowa,Georgia,1306,2021
Kansas,Georgia,5167,2021
Kentucky,Georgia,3449,2021
Louisiana,Georgia,1987,2021
Maine,Georgia,1180,2021
Maryland,Georgia,8937,2021
Massachusetts,Georgia,1625,2021
Michigan,Georgia,5340,2021
Minnesota,Georgia,928,2021
Mississippi,Georgia,2978,2021
Missouri,Georgia,2356,2021
Montana,Georgia,547,2021
Nebraska,Georgia,254,2021
Nevada,Georgia,1603,2021
New Hampshire,Georgia,187,2021
New Jersey,Georgia,1472,2021
New Mexico,Georgia,713,2021
New York,Georgia,7342,2021
North Carolina,Georgia,17698,2021
North Dakota,Georgia,0,2021
Ohio,Georgia,3769,2021
Oklahoma,Georgia,1293,2021
Oregon,Georgia,1291,2021
Pennsylvania,Georgia,3622,2021
Rhode Island,Georgia,196,2021
South Carolina,Georgia,14963,2021
South Dakota,Georgia,0,2021
Tennessee,Georgia,14723,2021
Texas,Georgia,16781,2021
Utah,Georgia,1261,2021
Vermont,Georgia,284,2021
Virginia,Georgia,10750,2021
Washington,Georgia,4838,2021
West Virginia,Georgia,558,2021
Wisconsin,Georgia,1797,2021
Wyoming,Georgia,515,2021
Alabama,Hawaii,1349,2021
Alaska,Hawaii,1316,2021
Arizona,Hawaii,3249,2021
Arkansas,Hawaii,250,2021
California,Hawaii,7544,2021
Colorado,Hawaii,2679,2021
Connecticut,Hawaii,37,2021
Delaware,Hawaii,70,2021
District of Columbia,Hawaii,0,2021
Florida,Hawaii,4179,2021
Georgia,Hawaii,2321,2021
Idaho,Hawaii,827,2021
Illinois,Hawaii,576,2021
Indiana,Hawaii,622,2021
Iowa,Hawaii,351,2021
Kansas,Hawaii,64,2021
Kentucky,Hawaii,807,2021
Louisiana,Hawaii,710,2021
Maine,Hawaii,245,2021
Maryland,Hawaii,1110,2021
Massachusetts,Hawaii,29,2021
Michigan,Hawaii,239,2021
Minnesota,Hawaii,94,2021
Mississippi,Hawaii,545,2021
Missouri,Hawaii,313,2021
Montana,Hawaii,153,2021
Nebraska,Hawaii,248,2021
Nevada,Hawaii,2894,2021
New Hampshire,Hawaii,37,2021
New Jersey,Hawaii,350,2021
New Mexico,Hawaii,82,2021
New York,Hawaii,962,2021
North Carolina,Hawaii,1591,2021
North Dakota,Hawaii,102,2021
Ohio,Hawaii,715,2021
Oklahoma,Hawaii,1386,2021
Oregon,Hawaii,1794,2021
Pennsylvania,Hawaii,1001,2021
Rhode Island,Hawaii,0,2021
South Carolina,Hawaii,211,2021
South Dakota,Hawaii,0,2021
Tennessee,Hawaii,2939,2021
Texas,Hawaii,7668,2021
Utah,Hawaii,995,2021
Vermont,Hawaii,266,2021
Virginia,Hawaii,2193,2021
Washington,Hawaii,3770,2021
West Virginia,Hawaii,0,2021
Wisconsin,Hawaii,338,2021
Wyoming,Hawaii,15,2021
Alabama,Idaho,406,2021
Alaska,Idaho,503,2021
Arizona,Idaho,6510,2021
Arkansas,Idaho,0,2021
California,Idaho,2799,2021
Colorado,Idaho,1128,2021
Connecticut,Idaho,353,2021
Delaware,Idaho,0,2021
District of Columbia,Idaho,93,2021
Florida,Idaho,1309,2021
Georgia,Idaho,208,2021
Hawaii,Idaho,1638,2021
Illinois,Idaho,156,2021
Indiana,Idaho,328,2021
Iowa,Idaho,592,2021
Kansas,Idaho,345,2021
Kentucky,Idaho,186,2021
Louisiana,Idaho,392,2021
Maine,Idaho,0,2021
Maryland,Idaho,70,2021
Massachusetts,Idaho,522,2021
Michigan,Idaho,498,2021
Minnesota,Idaho,495,2021
Mississippi,Idaho,0,2021
Missouri,Idaho,566,2021
Montana,Idaho,2836,2021
Nebraska,Idaho,0,2021
Nevada,Idaho,1601,2021
New Hampshire,Idaho,0,2021
New Jersey,Idaho,283,2021
New Mexico,Idaho,598,2021
New York,Idaho,1007,2021
North Carolina,Idaho,1520,2021
North Dakota,Idaho,0,2021
Ohio,Idaho,584,2021
Oklahoma,Idaho,853,2021
Oregon,Idaho,6445,2021
Pennsylvania,Idaho,502,2021
Rhode Island,Idaho,0,2021
South Carolina,Idaho,193,2021
South Dakota,Idaho,0,2021
Tennessee,Idaho,119,2021
Texas,Idaho,2551,2021
Utah,Idaho,7411,2021
Vermont,Idaho,0,2021
Virginia,Idaho,607,2021
Washington,Idaho,9856,2021
West Virginia,Idaho,0,2021
Wisconsin,Idaho,305,2021
Wyoming,Idaho,705,2021
Alabama,Illinois,3399,2021
Alaska,Illinois,417,2021
Arizona,Illinois,13018,2021
Arkansas,Illinois,2548,2021
California,Illinois,22546,2021
Colorado,Illinois,10241,2021
Connecticut,Illinois,789,2021
Delaware,Illinois,212,2021
District of Columbia,Illinois,1736,2021
Florida,Illinois,34061,2021
Georgia,Illinois,5472,2021
Hawaii,Illinois,496,2021
Idaho,Illinois,374,2021
Indiana,Illinois,37764,2021
Iowa,Illinois,11475,2021
Kansas,Illinois,3429,2021
Kentucky,Illinois,4912,2021
Louisiana,Illinois,2052,2021
Maine,Illinois,485,2021
Maryland,Illinois,3948,2021
Massachusetts,Illinois,3962,2021
Michigan,Illinois,12453,2021
Minnesota,Illinois,6163,2021
Mississippi,Illinois,1835,2021
Missouri,Illinois,28457,2021
Montana,Illinois,466,2021
Nebraska,Illinois,1463,2021
Nevada,Illinois,2577,2021
New Hampshire,Illinois,542,2021
New Jersey,Illinois,2083,2021
New Mexico,Illinois,1229,2021
New York,Illinois,8093,2021
North Carolina,Illinois,8920,2021
North Dakota,Illinois,559,2021
Ohio,Illinois,11845,2021
Oklahoma,Illinois,3251,2021
Oregon,Illinois,1551,2021
Pennsylvania,Illinois,6000,2021
Rhode Island,Illinois,949,2021
South Carolina,Illinois,4040,2021
South Dakota,Illinois,487,2021
Tennessee,Illinois,12722,2021
Texas,Illinois,20819,2021
Utah,Illinois,1438,2021
Vermont,Illinois,108,2021
Virginia,Illinois,4833,2021
Washington,Illinois,3956,2021
West Virginia,Illinois,0,2021
Wisconsin,Illinois,29975,2021
Wyoming,Illinois,1275,2021
Alabama,Indiana,3146,2021
Alaska,Indiana,218,2021
Arizona,Indiana,6093,2021
Arkansas,Indiana,2041,2021
California,Indiana,3889,2021
Colorado,Indiana,1793,2021
Connecticut,Indiana,888,2021
Delaware,Indiana,201,2021
District of Columbia,Indiana,159,2021
Florida,Indiana,17980,2021
Georgia,Indiana,3897,2021
Hawaii,Indiana,1251,2021
Idaho,Indiana,0,2021
Illinois,Indiana,18681,2021
Iowa,Indiana,1149,2021
Kansas,Indiana,1381,2021
Kentucky,Indiana,11437,2021
Louisiana,Indiana,282,2021
Maine,Indiana,144,2021
Maryland,Indiana,1971,2021
Massachusetts,Indiana,1199,2021
Michigan,Indiana,11998,2021
Minnesota,Indiana,1252,2021
Mississippi,Indiana,378,2021
Missouri,Indiana,2986,2021
Montana,Indiana,167,2021
Nebraska,Indiana,686,2021
Nevada,Indiana,1058,2021
New Hampshire,Indiana,158,2021
New Jersey,Indiana,4098,2021
New Mexico,Indiana,1508,2021
New York,Indiana,1334,2021
North Carolina,Indiana,3678,2021
North Dakota,Indiana,152,2021
Ohio,Indiana,8028,2021
Oklahoma,Indiana,674,2021
Oregon,Indiana,801,2021
Pennsylvania,Indiana,2614,2021
Rhode Island,Indiana,677,2021
South Carolina,Indiana,1667,2021
South Dakota,Indiana,471,2021
Tennessee,Indiana,6012,2021
Texas,Indiana,10573,2021
Utah,Indiana,798,2021
Vermont,Indiana,136,2021
Virginia,Indiana,3159,2021
Washington,Indiana,679,2021
West Virginia,Indiana,468,2021
Wisconsin,Indiana,1447,2021
Wyoming,Indiana,32,2021
Alabama,Iowa,444,2021
Alaska,Iowa,0,2021
Arizona,Iowa,2399,2021
Arkansas,Iowa,1033,2021
California,Iowa,3435,2021
Colorado,Iowa,1136,2021
Connecticut,Iowa,490,2021
Delaware,Iowa,0,2021
District of Columbia,Iowa,145,2021
Florida,Iowa,3735,2021
Georgia,Iowa,1619,2021
Hawaii,Iowa,0,2021
Idaho,Iowa,428,2021
Illinois,Iowa,9580,2021
Indiana,Iowa,271,2021
Kansas,Iowa,1637,2021
Kentucky,Iowa,756,2021
Louisiana,Iowa,730,2021
Maine,Iowa,376,2021
Maryland,Iowa,21,2021
Massachusetts,Iowa,715,2021
Michigan,Iowa,1011,2021
Minnesota,Iowa,5523,2021
Mississippi,Iowa,110,2021
Missouri,Iowa,5661,2021
Montana,Iowa,20,2021
Nebraska,Iowa,6235,2021
Nevada,Iowa,1574,2021
New Hampshire,Iowa,96,2021
New Jersey,Iowa,90,2021
New Mexico,Iowa,0,2021
New York,Iowa,1552,2021
North Carolina,Iowa,1260,2021
North Dakota,Iowa,755,2021
Ohio,Iowa,1995,2021
Oklahoma,Iowa,1109,2021
Oregon,Iowa,235,2021
Pennsylvania,Iowa,904,2021
Rhode Island,Iowa,248,2021
South Carolina,Iowa,1253,2021
South Dakota,Iowa,3399,2021
Tennessee,Iowa,210,2021
Texas,Iowa,7124,2021
Utah,Iowa,10,2021
Vermont,Iowa,292,2021
Virginia,Iowa,645,2021
Washington,Iowa,394,2021
West Virginia,Iowa,0,2021
Wisconsin,Iowa,2272,2021
Wyoming,Iowa,16,2021
Alabama,Kansas,606,2021
Alaska,Kansas,452,2021
Arizona,Kansas,1597,2021
Arkansas,Kansas,1548,2021
California,Kansas,3582,2021
Colorado,Kansas,3862,2021
Connecticut,Kansas,169,2021
Delaware,Kansas,0,2021
District of Columbia,Kansas,503,2021
Florida,Kansas,3099,2021
Georgia,Kansas,2588,2021
Hawaii,Kansas,462,2021
Idaho,Kansas,611,2021
Illinois,Kansas,1184,2021
Indiana,Kansas,1078,2021
Iowa,Kansas,1188,2021
Kentucky,Kansas,1043,2021
Louisiana,Kansas,2268,2021
Maine,Kansas,0,2021
Maryland,Kansas,788,2021
Massachusetts,Kansas,67,2021
Michigan,Kansas,595,2021
Minnesota,Kansas,1417,2021
Mississippi,Kansas,637,2021
Missouri,Kansas,21602,2021
Montana,Kansas,78,2021
Nebraska,Kansas,1629,2021
Nevada,Kansas,354,2021
New Hampshire,Kansas,0,2021
New Jersey,Kansas,206,2021
New Mexico,Kansas,244,2021
New York,Kansas,2595,2021
North Carolina,Kansas,1105,2021
North Dakota,Kansas,237,2021
Ohio,Kansas,861,2021
Oklahoma,Kansas,5899,2021
Oregon,Kansas,416,2021
Pennsylvania,Kansas,2590,2021
Rhode Island,Kansas,0,2021
South Carolina,Kansas,341,2021
South Dakota,Kansas,322,2021
Tennessee,Kansas,1661,2021
Texas,Kansas,11039,2021
Utah,Kansas,664,2021
Vermont,Kansas,172,2021
Virginia,Kansas,711,2021
Washington,Kansas,2923,2021
West Virginia,Kansas,0,2021
Wisconsin,Kansas,538,2021
Wyoming,Kansas,610,2021
Alabama,Kentucky,1950,2021
Alaska,Kentucky,1250,2021
Arizona,Kentucky,987,2021
Arkansas,Kentucky,797,2021
California,Kentucky,2010,2021
Colorado,Kentucky,1940,2021
Connecticut,Kentucky,282,2021
Delaware,Kentucky,142,2021
District of Columbia,Kentucky,202,2021
Florida,Kentucky,8385,2021
Georgia,Kentucky,7048,2021
Hawaii,Kentucky,0,2021
Idaho,Kentucky,51,2021
Illinois,Kentucky,1886,2021
Indiana,Kentucky,13369,2021
Iowa,Kentucky,228,2021
Kansas,Kentucky,1242,2021
Louisiana,Kentucky,928,2021
Maine,Kentucky,623,2021
Maryland,Kentucky,523,2021
Massachusetts,Kentucky,1275,2021
Michigan,Kentucky,1441,2021
Minnesota,Kentucky,889,2021
Mississippi,Kentucky,1234,2021
Missouri,Kentucky,1565,2021
Montana,Kentucky,0,2021
Nebraska,Kentucky,376,2021
Nevada,Kentucky,218,2021
New Hampshire,Kentucky,0,2021
New Jersey,Kentucky,1860,2021
New Mexico,Kentucky,340,2021
New York,Kentucky,2365,2021
North Carolina,Kentucky,2410,2021
North Dakota,Kentucky,28,2021
Ohio,Kentucky,12704,2021
Oklahoma,Kentucky,873,2021
Oregon,Kentucky,164,2021
Pennsylvania,Kentucky,1493,2021
Rhode Island,Kentucky,100,2021
South Carolina,Kentucky,2627,2021
South Dakota,Kentucky,103,2021
Tennessee,Kentucky,7612,2021
Texas,Kentucky,4865,2021
Utah,Kentucky,282,2021
Vermont,Kentucky,191,2021
Virginia,Kentucky,1926,2021
Washington,Kentucky,823,2021
West Virginia,Kentucky,491,2021
Wisconsin,Kentucky,703,2021
Wyoming,Kentucky,138,2021
Alabama,Louisiana,3594,2021
Alaska,Louisiana,0,2021
Arizona,Louisiana,691,2021
Arkansas,Louisiana,2557,2021
California,Louisiana,3174,2021
Colorado,Louisiana,4088,2021
Connecticut,Louisiana,825,2021
Delaware,Louisiana,15,2021
District of Columbia,Louisiana,324,2021
Florida,Louisiana,5914,2021
Georgia,Louisiana,7437,2021
Hawaii,Louisiana,616,2021
Idaho,Louisiana,81,2021
Illinois,Louisiana,1790,2021
Indiana,Louisiana,258,2021
Iowa,Louisiana,471,2021
Kansas,Louisiana,1850,2021
Kentucky,Louisiana,853,2021
Maine,Louisiana,83,2021
Maryland,Louisiana,638,2021
Massachusetts,Louisiana,799,2021
Michigan,Louisiana,745,2021
Minnesota,Louisiana,496,2021
Mississippi,Louisiana,6704,2021
Missouri,Louisiana,1450,2021
Montana,Louisiana,568,2021
Nebraska,Louisiana,463,2021
Nevada,Louisiana,244,2021
New Hampshire,Louisiana,0,2021
New Jersey,Louisiana,1495,2021
New Mexico,Louisiana,1042,2021
New York,Louisiana,2486,2021
North Carolina,Louisiana,4005,2021
North Dakota,Louisiana,1405,2021
Ohio,Louisiana,1579,2021
Oklahoma,Louisiana,1915,2021
Oregon,Louisiana,1234,2021
Pennsylvania,Louisiana,689,2021
Rhode Island,Louisiana,0,2021
South Carolina,Louisiana,2269,2021
South Dakota,Louisiana,408,2021
Tennessee,Louisiana,4785,2021
Texas,Louisiana,28130,2021
Utah,Louisiana,506,2021
Vermont,Louisiana,98,2021
Virginia,Louisiana,2372,2021
Washington,Louisiana,994,2021
West Virginia,Louisiana,493,2021
Wisconsin,Louisiana,537,2021
Wyoming,Louisiana,148,2021
Alabama,Maine,225,2021
Alaska,Maine,0,2021
Arizona,Maine,50,2021
Arkansas,Maine,144,2021
California,Maine,248,2021
Colorado,Maine,310,2021
Connecticut,Maine,134,2021
Delaware,Maine,0,2021
District of Columbia,Maine,1028,2021
Florida,Maine,1483,2021
Georgia,Maine,721,2021
Hawaii,Maine,144,2021
Idaho,Maine,1610,2021
Illinois,Maine,345,2021
Indiana,Maine,55,2021
Iowa,Maine,0,2021
Kansas,Maine,0,2021
Kentucky,Maine,0,2021
Louisiana,Maine,67,2021
Maryland,Maine,175,2021
Massachusetts,Maine,1685,2021
Michigan,Maine,22,2021
Minnesota,Maine,111,2021
Mississippi,Maine,117,2021
Missouri,Maine,64,2021
Montana,Maine,96,2021
Nebraska,Maine,148,2021
Nevada,Maine,0,2021
New Hampshire,Maine,2198,2021
New Jersey,Maine,654,2021
New Mexico,Maine,0,2021
New York,Maine,1742,2021
North Carolina,Maine,1002,2021
North Dakota,Maine,66,2021
Ohio,Maine,66,2021
Oklahoma,Maine,0,2021
Oregon,Maine,223,2021
Pennsylvania,Maine,363,2021
Rhode Island,Maine,81,2021
South Carolina,Maine,0,2021
South Dakota,Maine,0,2021
Tennessee,Maine,763,2021
Texas,Maine,786,2021
Utah,Maine,37,2021
Vermont,Maine,743,2021
Virginia,Maine,247,2021
Washington,Maine,489,2021
West Virginia,Maine,217,2021
Wisconsin,Maine,129,2021
Wyoming,Maine,98,2021
Alabama,Maryland,468,2021
Alaska,Maryland,772,2021
Arizona,Maryland,1463,2021
Arkansas,Maryland,130,2021
California,Maryland,5860,2021
Colorado,Maryland,2261,2021
Connecticut,Maryland,1419,2021
Delaware,Maryland,7767,2021
District of Columbia,Maryland,7754,2021
Florida,Maryland,16166,2021
Georgia,Maryland,5135,2021
Hawaii,Maryland,1710,2021
Idaho,Maryland,467,2021
Illinois,Maryland,3682,2021
Indiana,Maryland,4028,2021
Iowa,Maryland,199,2021
Kansas,Maryland,402,2021
Kentucky,Maryland,1499,2021
Louisiana,Maryland,1385,2021
Maine,Maryland,1574,2021
Massachusetts,Maryland,4156,2021
Michigan,Maryland,2755,2021
Minnesota,Maryland,363,2021
Mississippi,Maryland,81,2021
Missouri,Maryland,436,2021
Montana,Maryland,40,2021
Nebraska,Maryland,0,2021
Nevada,Maryland,494,2021
New Hampshire,Maryland,450,2021
New Jersey,Maryland,3042,2021
New Mexico,Maryland,731,2021
New York,Maryland,7749,2021
North Carolina,Maryland,15645,2021
North Dakota,Maryland,36,2021
Ohio,Maryland,3329,2021
Oklahoma,Maryland,914,2021
Oregon,Maryland,288,2021
Pennsylvania,Maryland,22793,2021
Rhode Island,Maryland,334,2021
South Carolina,Maryland,7231,2021
South Dakota,Maryland,42,2021
Tennessee,Maryland,2528,2021
Texas,Maryland,8673,2021
Utah,Maryland,932,2021
Vermont,Maryland,712,2021
Virginia,Maryland,27855,2021
Washington,Maryland,1723,2021
West Virginia,Maryland,6792,2021
Wisconsin,Maryland,1358,2021
Wyoming,Maryland,34,2021
Alabama,Massachusetts,915,2021
Alaska,Massachusetts,722,2021
Arizona,Massachusetts,1806,2021
Arkansas,Massachusetts,490,2021
California,Massachusetts,15274,2021
Colorado,Massachusetts,6546,2021
Connecticut,Massachusetts,14556,2021
Delaware,Massachusetts,1037,2021
District of Columbia,Massachusetts,2389,2021
Florida,Massachusetts,20586,2021
Georgia,Massachusetts,3151,2021
Hawaii,Massachusetts,868,2021
Idaho,Massachusetts,0,2021
Illinois,Massachusetts,2650,2021
Indiana,Massachusetts,2949,2021
Iowa,Massachusetts,10,2021
Kansas,Massachusetts,125,2021
Kentucky,Massachusetts,301,2021
Louisiana,Massachusetts,341,2021
Maine,Massachusetts,6753,2021
Maryland,Massachusetts,2299,2021
Michigan,Massachusetts,1980,2021
Minnesota,Massachusetts,1308,2021
Mississippi,Massachusetts,581,2021
Missouri,Massachusetts,1435,2021
Montana,Massachusetts,243,2021
Nebraska,Massachusetts,70,2021
Nevada,Massachusetts,580,2021
New Hampshire,Massachusetts,24752,2021
New Jersey,Massachusetts,2749,2021
New Mexico,Massachusetts,643,2021
New York,Massachusetts,21608,2021
North Carolina,Massachusetts,9378,2021
North Dakota,Massachusetts,246,2021
Ohio,Massachusetts,2512,2021
Oklahoma,Massachusetts,747,2021
Oregon,Massachusetts,802,2021
Pennsylvania,Massachusetts,5682,2021
Rhode Island,Massachusetts,12826,2021
South Carolina,Massachusetts,3619,2021
South Dakota,Massachusetts,0,2021
Tennessee,Massachusetts,2782,2021
Texas,Massachusetts,8639,2021
Utah,Massachusetts,550,2021
Vermont,Massachusetts,6890,2021
Virginia,Massachusetts,9553,2021
Washington,Massachusetts,4402,2021
West Virginia,Massachusetts,116,2021
Wisconsin,Massachusetts,1235,2021
Wyoming,Massachusetts,54,2021
Alabama,Michigan,3065,2021
Alaska,Michigan,1024,2021
Arizona,Michigan,3642,2021
Arkansas,Michigan,3475,2021
California,Michigan,9419,2021
Colorado,Michigan,3947,2021
Connecticut,Michigan,254,2021
Delaware,Michigan,451,2021
District of Columbia,Michigan,607,2021
Florida,Michigan,24506,2021
Georgia,Michigan,4923,2021
Hawaii,Michigan,891,2021
Idaho,Michigan,548,2021
Illinois,Michigan,9866,2021
Indiana,Michigan,10586,2021
Iowa,Michigan,293,2021
Kansas,Michigan,1532,2021
Kentucky,Michigan,2666,2021
Louisiana,Michigan,1423,2021
Maine,Michigan,519,2021
Maryland,Michigan,1861,2021
Massachusetts,Michigan,1844,2021
Minnesota,Michigan,1979,2021
Mississippi,Michigan,783,2021
Missouri,Michigan,1126,2021
Montana,Michigan,419,2021
Nebraska,Michigan,374,2021
Nevada,Michigan,3607,2021
New Hampshire,Michigan,0,2021
New Jersey,Michigan,2119,2021
New Mexico,Michigan,912,2021
New York,Michigan,3351,2021
North Carolina,Michigan,8406,2021
North Dakota,Michigan,675,2021
Ohio,Michigan,11524,2021
Oklahoma,Michigan,1336,2021
Oregon,Michigan,1839,2021
Pennsylvania,Michigan,2737,2021
Rhode Island,Michigan,407,2021
South Carolina,Michigan,1830,2021
South Dakota,Michigan,488,2021
Tennessee,Michigan,3550,2021
Texas,Michigan,10009,2021
Utah,Michigan,1233,2021
Vermont,Michigan,650,2021
Virginia,Michigan,3005,2021
Washington,Michigan,2139,2021
West Virginia,Michigan,121,2021
Wisconsin,Michigan,5756,2021
Wyoming,Michigan,121,2021
Alabama,Minnesota,499,2021
Alaska,Minnesota,179,2021
Arizona,Minnesota,10891,2021
Arkansas,Minnesota,1298,2021
California,Minnesota,6053,2021
Colorado,Minnesota,4569,2021
Connecticut,Minnesota,1361,2021
Delaware,Minnesota,90,2021
District of Columbia,Minnesota,726,2021
Florida,Minnesota,10156,2021
Georgia,Minnesota,2038,2021
Hawaii,Minnesota,695,2021
Idaho,Minnesota,706,2021
Illinois,Minnesota,2712,2021
Indiana,Minnesota,2362,2021
Iowa,Minnesota,7893,2021
Kansas,Minnesota,1962,2021
Kentucky,Minnesota,680,2021
Louisiana,Minnesota,815,2021
Maine,Minnesota,298,2021
Maryland,Minnesota,866,2021
Massachusetts,Minnesota,1836,2021
Michigan,Minnesota,3258,2021
Mississippi,Minnesota,268,2021
Missouri,Minnesota,933,2021
Montana,Minnesota,1089,2021
