destination,origin,flow,year
Missouri,Arkansas,9590,2022
Montana,Arkansas,32,2022
Nebraska,Arkansas,202,2022
Nevada,Arkansas,771,2022
New Hampshire,Arkansas,0,2022
New Jersey,Arkansas,221,2022
New Mexico,Arkansas,205,2022
New York,Arkansas,430,2022
North Carolina,Arkansas,2057,2022
North Dakota,Arkansas,34,2022
Ohio,Arkansas,1804,2022
Oklahoma,Arkansas,4277,2022
Oregon,Arkansas,422,2022
Pennsylvania,Arkansas,624,2022
Rhode Island,Arkansas,85,2022
South Carolina,Arkansas,819,2022
South Dakota,Arkansas,342,2022
Tennessee,Arkansas,7202,2022
Texas,Arkansas,18562,2022
Utah,Arkansas,690,2022
Vermont,Arkansas,428,2022
Virginia,Arkansas,301,2022
Washington,Arkansas,1105,2022
West Virginia,Arkansas,121,2022
Wisconsin,Arkansas,694,2022
Wyoming,Arkansas,57,2022
Alabama,California,8012,2022
Alaska,California,3855,2022
Arizona,California,74157,2022
Arkansas,California,7783,2022
Colorado,California,33213,2022
Connecticut,California,7097,2022
Delaware,California,660,2022
District of Columbia,California,4539,2022
Florida,California,50701,2022
Georgia,California,25960,2022
Hawaii,California,10562,2022
Idaho,California,26887,2022
Illinois,California,20573,2022
Indiana,California,7769,2022
Iowa,California,2349,2022
Kansas,California,5520,2022
Kentucky,California,5985,2022
Louisiana,California,4847,2022
Maine,California,3552,2022
Maryland,California,7198,2022
Massachusetts,California,18543,2022
Michigan,California,13939,2022
Minnesota,California,6908,2022
Mississippi,California,1638,2022
Missouri,California,12107,2022
Montana,California,4660,2022
Nebraska,California,1535,2022
Nevada,California,48836,2022
New Hampshire,California,2974,2022
New Jersey,California,6543,2022
New Mexico,California,8897,2022
New York,California,34681,2022
North Carolina,California,22891,2022
North Dakota,California,1989,2022
Ohio,California,11924,2022
Oklahoma,California,15200,2022
Oregon,California,36429,2022
Pennsylvania,California,16336,2022
Rhode Island,California,919,2022
South Carolina,California,15035,2022
South Dakota,California,957,2022
Tennessee,California,22565,2022
Texas,California,102442,2022
Utah,California,18669,2022
Vermont,California,855,2022
Virginia,California,19036,2022
Washington,California,49968,2022
West Virginia,California,879,2022
Wisconsin,California,7537,2022
Wyoming,California,1558,2022
Alabama,Colorado,3329,2022
Alaska,Colorado,665,2022
Arizona,Colorado,12232,2022
Arkansas,Colorado,2562,2022
California,Colorado,19970,2022
Connecticut,Colorado,1992,2022
Delaware,Colorado,123,2022
District of Columbia,Colorado,1187,2022
Florida,Colorado,20980,2022
Georgia,Colorado,5419,2022
Hawaii,Colorado,2750,2022
Idaho,Colorado,1655,2022
Illinois,Colorado,6720,2022
Indiana,Colorado,3586,2022
Iowa,Colorado,1932,2022
Kansas,Colorado,7359,2022
Kentucky,Colorado,2182,2022
Louisiana,Colorado,3329,2022
Maine,Colorado,1332,2022
Maryland,Colorado,1148,2022
Massachusetts,Colorado,2186,2022
Michigan,Colorado,4589,2022
Minnesota,Colorado,3620,2022
Mississippi,Colorado,2701,2022
Missouri,Colorado,8042,2022
Montana,Colorado,3440,2022
Nebraska,Colorado,6422,2022
Nevada,Colorado,4522,2022
New Hampshire,Colorado,1025,2022
New Jersey,Colorado,1905,2022
New Mexico,Colorado,7846,2022
New York,Colorado,5720,2022
North Carolina,Colorado,7298,2022
North Dakota,Colorado,912,2022
Ohio,Colorado,4849,2022
Oklahoma,Colorado,5902,2022
Oregon,Colorado,4827,2022
Pennsylvania,Colorado,3840,2022
Rhode Island,Colorado,0,2022
South Carolina,Colorado,2472,2022
South Dakota,Colorado,726,2022
Tennessee,Colorado,4105,2022
Texas,Colorado,24511,2022
Utah,Colorado,5327,2022
Vermont,Colorado,230,2022
Virginia,Colorado,4485,2022
Washington,Colorado,9396,2022
West Virginia,Colorado,210,2022
Wisconsin,Colorado,2564,2022
Wyoming,Colorado,5076,2022
Alabama,Connecticut,868,2022
Alaska,Connecticut,15,2022
Arizona,Connecticut,339,2022
Arkansas,Connecticut,210,2022
California,Connecticut,4977,2022
Colorado,Connecticut,653,2022
Delaware,Connecticut,198,2022
District of Columbia,Connecticut,1401,2022
Florida,Connecticut,13620,2022
Georgia,Connecticut,2526,2022
Hawaii,Connecticut,597,2022
Idaho,Connecticut,322,2022
Illinois,Connecticut,474,2022
Indiana,Connecticut,687,2022
Iowa,Connecticut,4,2022
Kansas,Connecticut,0,2022
Kentucky,Connecticut,863,2022
Louisiana,Connecticut,698,2022
Maine,Connecticut,1243,2022
Maryland,Connecticut,1147,2022
Massachusetts,Connecticut,9503,2022
Michigan,Connecticut,1038,2022
Minnesota,Connecticut,676,2022
Mississippi,Connecticut,26,2022
Missouri,Connecticut,203,2022
Montana,Connecticut,24,2022
Nebraska,Connecticut,80,2022
Nevada,Connecticut,587,2022
New Hampshire,Connecticut,2087,2022
New Jersey,Connecticut,1417,2022
New Mexico,Connecticut,391,2022
New York,Connecticut,14981,2022
North Carolina,Connecticut,4250,2022
North Dakota,Connecticut,0,2022
Ohio,Connecticut,675,2022
Oklahoma,Connecticut,1038,2022
Oregon,Connecticut,267,2022
Pennsylvania,Connecticut,2816,2022
Rhode Island,Connecticut,2896,2022
South Carolina,Connecticut,4437,2022
South Dakota,Connecticut,0,2022
Tennessee,Connecticut,936,2022
Texas,Connecticut,4973,2022
Utah,Connecticut,161,2022
Vermont,Connecticut,1247,2022
Virginia,Connecticut,1792,2022
Washington,Connecticut,795,2022
West Virginia,Connecticut,395,2022
Wisconsin,Connecticut,200,2022
Wyoming,Connecticut,0,2022
Alabama,Delaware,694,2022
Alaska,Delaware,72,2022
Arizona,Delaware,970,2022
Arkansas,Delaware,0,2022
California,Delaware,1818,2022
Colorado,Delaware,64,2022
Connecticut,Delaware,51,2022
District of Columbia,Delaware,352,2022
Florida,Delaware,3118,2022
Georgia,Delaware,585,2022
Hawaii,Delaware,246,2022
Idaho,Delaware,0,2022
Illinois,Delaware,218,2022
Indiana,Delaware,25,2022
Iowa,Delaware,0,2022
Kansas,Delaware,49,2022
Kentucky,Delaware,0,2022
Louisiana,Delaware,0,2022
Maine,Delaware,0,2022
Maryland,Delaware,4880,2022
Massachusetts,Delaware,319,2022
Michigan,Delaware,510,2022
Minnesota,Delaware,312,2022
Mississippi,Delaware,127,2022
Missouri,Delaware,0,2022
Montana,Delaware,0,2022
Nebraska,Delaware,105,2022
Nevada,Delaware,54,2022
New Hampshire,Delaware,0,2022
New Jersey,Delaware,1463,2022
New Mexico,Delaware,61,2022
New York,Delaware,2179,2022
North Carolina,Delaware,1184,2022
North Dakota,Delaware,0,2022
Ohio,Delaware,706,2022
Oklahoma,Delaware,314,2022
Oregon,Delaware,0,2022
Pennsylvania,Delaware,8158,2022
Rhode Island,Delaware,49,2022
South Carolina,Delaware,2007,2022
South Dakota,Delaware,0,2022
Tennessee,Delaware,114,2022
Texas,Delaware,1817,2022
Utah,Delaware,0,2022
Vermont,Delaware,142,2022
Virginia,Delaware,707,2022
Washington,Delaware,146,2022
West Virginia,Delaware,58,2022
Wisconsin,Delaware,0,2022
Wyoming,Delaware,17,2022
Alabama,District of Columbia,85,2022
Alaska,District of Columbia,14,2022
Arizona,District of Columbia,152,2022
Arkansas,District of Columbia,0,2022
California,District of Columbia,4443,2022
Colorado,District of Columbia,2679,2022
Connecticut,District of Columbia,1607,2022
Delaware,District of Columbia,202,2022
Florida,District of Columbia,2830,2022
Georgia,District of Columbia,1243,2022
Hawaii,District of Columbia,74,2022
Idaho,District of Columbia,0,2022
Illinois,District of Columbia,1028,2022
Indiana,District of Columbia,716,2022
Iowa,District of Columbia,178,2022
Kansas,District of Columbia,57,2022
Kentucky,District of Columbia,156,2022
Louisiana,District of Columbia,343,2022
Maine,District of Columbia,220,2022
Maryland,District of Columbia,17770,2022
Massachusetts,District of Columbia,1540,2022
Michigan,District of Columbia,1685,2022
Minnesota,District of Columbia,466,2022
Mississippi,District of Columbia,0,2022
Missouri,District of Columbia,303,2022
Montana,District of Columbia,93,2022
Nebraska,District of Columbia,0,2022
Nevada,District of Columbia,106,2022
New Hampshire,District of Columbia,257,2022
New Jersey,District of Columbia,1625,2022
New Mexico,District of Columbia,269,2022
New York,District of Columbia,5861,2022
North Carolina,District of Columbia,1399,2022
North Dakota,District of Columbia,80,2022
Ohio,District of Columbia,180,2022
Oklahoma,District of Columbia,272,2022
Oregon,District of Columbia,61,2022
Pennsylvania,District of Columbia,1664,2022
Rhode Island,District of Columbia,501,2022
South Carolina,District of Columbia,1234,2022
South Dakota,District of Columbia,0,2022
Tennessee,District of Columbia,391,2022
Texas,District of Columbia,1461,2022
Utah,District of Columbia,0,2022
Vermont,District of Columbia,307,2022
Virginia,District of Columbia,13582,2022
Washington,District of Columbia,279,2022
West Virginia,District of Columbia,237,2022
Wisconsin,District of Columbia,254,2022
Wyoming,District of Columbia,0,2022
Alabama,Florida,18236,2022
Alaska,Florida,1575,2022
Arizona,Florida,4471,2022
Arkansas,Florida,7065,2022
California,Florida,28557,2022
Colorado,Florida,11107,2022
Connecticut,Florida,7476,2022
Delaware,Florida,1339,2022
District of Columbia,Florida,2932,2022
Georgia,Florida,51380,2022
Hawaii,Florida,1442,2022
Idaho,Florida,1109,2022
Illinois,Florida,14078,2022
Indiana,Florida,7474,2022
Iowa,Florida,3546,2022
Kansas,Florida,4694,2022
Kentucky,Florida,8062,2022
Louisiana,Florida,5089,2022
Maine,Florida,2911,2022
Maryland,Florida,8425,2022
Massachusetts,Florida,11098,2022
Michigan,Florida,17557,2022
Minnesota,Florida,4521,2022
Mississippi,Florida,6611,2022
Missouri,Florida,9758,2022
Montana,Florida,1993,2022
Nebraska,Florida,1203,2022
Nevada,Florida,2360,2022
New Hampshire,Florida,1938,2022
New Jersey,Florida,9627,2022
New Mexico,Florida,2164,2022
New York,Florida,21300,2022
North Carolina,Florida,34920,2022
North Dakota,Florida,675,2022
Ohio,Florida,16831,2022
Oklahoma,Florida,3478,2022
Oregon,Florida,3501,2022
Pennsylvania,Florida,16014,2022
Rhode Island,Florida,3951,2022
South Carolina,Florida,14769,2022
South Dakota,Florida,328,2022
Tennessee,Florida,25318,2022
Texas,Florida,41747,2022
Utah,Florida,3025,2022
Vermont,Florida,873,2022
Virginia,Florida,23766,2022
Washington,Florida,8368,2022
West Virginia,Florida,3418,2022
Wisconsin,Florida,6762,2022
Wyoming,Florida,1063,2022
Alabama,Georgia,23155,2022
Alaska,Georgia,834,2022
Arizona,Georgia,3046,2022
Arkansas,Georgia,497,2022
California,Georgia,11002,2022
Colorado,Georgia,3360,2022
Connecticut,Georgia,3478,2022
Delaware,Georgia,293,2022
District of Columbia,Georgia,2289,2022
Florida,Georgia,39990,2022
Hawaii,Georgia,2823,2022
Idaho,Georgia,1548,2022
Illinois,Georgia,7424,2022
Indiana,Georgia,2326,2022
Iowa,Georgia,289,2022
Kansas,Georgia,3284,2022
Kentucky,Georgia,4941,2022
Louisiana,Georgia,3215,2022
Maine,Georgia,358,2022
Maryland,Georgia,3193,2022
Massachusetts,Georgia,2024,2022
Michigan,Georgia,3404,2022
Minnesota,Georgia,892,2022
Mississippi,Georgia,3094,2022
Missouri,Georgia,3395,2022
Montana,Georgia,563,2022
Nebraska,Georgia,447,2022
Nevada,Georgia,842,2022
New Hampshire,Georgia,416,2022
New Jersey,Georgia,961,2022
New Mexico,Georgia,1162,2022
New York,Georgia,8889,2022
North Carolina,Georgia,22551,2022
North Dakota,Georgia,433,2022
Ohio,Georgia,4155,2022
Oklahoma,Georgia,2576,2022
Oregon,Georgia,1230,2022
Pennsylvania,Georgia,2982,2022
Rhode Island,Georgia,369,2022
South Carolina,Georgia,19121,2022
South Dakota,Georgia,2134,2022
Tennessee,Georgia,14770,2022
Texas,Georgia,22324,2022
Utah,Georgia,398,2022
Vermont,Georgia,143,2022
Virginia,Georgia,6689,2022
Washington,Georgia,5574,2022
West Virginia,Georgia,2903,2022
Wisconsin,Georgia,1064,2022
Wyoming,Georgia,425,2022
Alabama,Hawaii,1256,2022
Alaska,Hawaii,532,2022
Arizona,Hawaii,1236,2022
Arkansas,Hawaii,74,2022
California,Hawaii,10747,2022
Colorado,Hawaii,1070,2022
Connecticut,Hawaii,189,2022
Delaware,Hawaii,82,2022
District of Columbia,Hawaii,41,2022
Florida,Hawaii,2858,2022
Georgia,Hawaii,2642,2022
Idaho,Hawaii,1046,2022
Illinois,Hawaii,785,2022
Indiana,Hawaii,1133,2022
Iowa,Hawaii,1154,2022
Kansas,Hawaii,487,2022
Kentucky,Hawaii,462,2022
Louisiana,Hawaii,0,2022
Maine,Hawaii,405,2022
Maryland,Hawaii,3306,2022
Massachusetts,Hawaii,1440,2022
Michigan,Hawaii,69,2022
Minnesota,Hawaii,199,2022
Mississippi,Hawaii,559,2022
Missouri,Hawaii,729,2022
Montana,Hawaii,612,2022
Nebraska,Hawaii,174,2022
Nevada,Hawaii,3380,2022
New Hampshire,Hawaii,251,2022
New Jersey,Hawaii,1215,2022
New Mexico,Hawaii,219,2022
New York,Hawaii,475,2022
North Carolina,Hawaii,3685,2022
North Dakota,Hawaii,39,2022
Ohio,Hawaii,1187,2022
Oklahoma,Hawaii,1164,2022
Oregon,Hawaii,2099,2022
Pennsylvania,Hawaii,193,2022
Rhode Island,Hawaii,420,2022
South Carolina,Hawaii,191,2022
South Dakota,Hawaii,729,2022
Tennessee,Hawaii,430,2022
Texas,Hawaii,6970,2022
Utah,Hawaii,1299,2022
Vermont,Hawaii,121,2022
Virginia,Hawaii,1852,2022
Washington,Hawaii,7392,2022
West Virginia,Hawaii,35,2022
Wisconsin,Hawaii,121,2022
Wyoming,Hawaii,503,2022
Alabama,Idaho,294,2022
Alaska,Idaho,309,2022
Arizona,Idaho,2628,2022
Arkansas,Idaho,1190,2022
California,Idaho,5567,2022
Colorado,Idaho,4345,2022
Connecticut,Idaho,507,2022
Delaware,Idaho,0,2022
District of Columbia,Idaho,230,2022
Florida,Idaho,3374,2022
Georgia,Idaho,1051,2022
Hawaii,Idaho,120,2022
Illinois,Idaho,839,2022
Indiana,Idaho,1994,2022
Iowa,Idaho,519,2022
Kansas,Idaho,121,2022
Kentucky,Idaho,787,2022
Louisiana,Idaho,277,2022
Maine,Idaho,0,2022
Maryland,Idaho,201,2022
Massachusetts,Idaho,345,2022
Michigan,Idaho,249,2022
Minnesota,Idaho,340,2022
Mississippi,Idaho,557,2022
Missouri,Idaho,599,2022
Montana,Idaho,2244,2022
Nebraska,Idaho,531,2022
Nevada,Idaho,780,2022
New Hampshire,Idaho,0,2022
New Jersey,Idaho,0,2022
New Mexico,Idaho,866,2022
New York,Idaho,451,2022
North Carolina,Idaho,734,2022
North Dakota,Idaho,338,2022
Ohio,Idaho,514,2022
Oklahoma,Idaho,422,2022
Oregon,Idaho,7508,2022
Pennsylvania,Idaho,1962,2022
Rhode Island,Idaho,230,2022
South Carolina,Idaho,387,2022
South Dakota,Idaho,106,2022
Tennessee,Idaho,1332,2022
Texas,Idaho,3553,2022
Utah,Idaho,7774,2022
Vermont,Idaho,145,2022
Virginia,Idaho,1353,2022
