Table with row labels in columns A and B and column labels headers in rows 5 through 8.,,,
Table 1. State-to-State Migration Flows1: 2024 American Community Survey 1-Year Estimates,,,
Universe: Population 1 year and over,,,
,,,
Current residence,Residence 1 year ago2,Movers to current residence from residence 1 year ago,
,,,
,,,
,,Estimate,Margin of error3 (±)
Arkansas,Kansas,"1,391","1,143"
Arkansas,Kentucky,825,661
Arkansas,Louisiana,"3,183","1,163"
Arkansas,Maine,N,N
Arkansas,Maryland,372,364
Arkansas,Massachusetts,N,N
Arkansas,Michigan,478,526
Arkansas,Minnesota,618,546
Arkansas,Mississippi,"2,005","1,159"
Arkansas,Missouri,"4,434","1,780"
Arkansas,Montana,0,213
Arkansas,Nebraska,134,127
Arkansas,Nevada,585,430
Arkansas,New Hampshire,0,213
Arkansas,New Jersey,597,597
Arkansas,New Mexico,"3,624","2,000"
Arkansas,New York,790,580
Arkansas,North Carolina,722,534
Arkansas,North Dakota,N,N
Arkansas,Ohio,453,371
Arkansas,Oklahoma,"3,227","1,098"
Arkansas,Oregon,755,999
Arkansas,Pennsylvania,"1,119","1,102"
Arkansas,Rhode Island,0,213
Arkansas,South Carolina,609,694
Arkansas,South Dakota,0,213
Arkansas,Tennessee,"2,579","1,147"
Arkansas,Texas,"10,842","2,476"
Arkansas,Utah,359,382
Arkansas,Vermont,0,213
Arkansas,Virginia,756,603
Arkansas,Washington,"1,307","1,375"
Arkansas,West Virginia,436,360
Arkansas,Wisconsin,665,532
Arkansas,Wyoming,76,92
Arkansas,Puerto Rico,N,N
Arkansas,U.S. Island Areas,N,N
Arkansas,Foreign country,"12,226","3,175"
California,Alabama,"1,440",735
California,Alaska,"3,022","1,823"
California,Arizona,"28,174","4,463"
California,Arkansas,"2,462","1,049"
California,California,X,X
California,Colorado,"15,781","3,397"
California,Connecticut,"4,853","1,483"
California,Delaware,149,144
California,District of Columbia ,"2,128",808
California,Florida,"15,988","3,031"
California,Georgia,"6,863","2,164"
California,Hawaii,"9,923","2,644"
California,Idaho,"6,509","1,562"
California,Illinois,"19,953","5,236"
California,Indiana,"7,654","3,693"
California,Iowa,"1,147",543
California,Kansas,"1,924",854
California,Kentucky,919,791
California,Louisiana,"4,078","1,478"
California,Maine,"1,860","1,028"
California,Maryland,"8,901","2,151"
California,Massachusetts,"15,720","3,343"
California,Michigan,"5,317","1,632"
California,Minnesota,"3,533","1,394"
California,Mississippi,"1,778","1,348"
California,Missouri,"5,144","1,672"
California,Montana,"2,531",925
California,Nebraska,"1,615","1,020"
California,Nevada,"21,133","4,646"
California,New Hampshire,700,329
California,New Jersey,"9,653","2,769"
California,New Mexico,"2,695","1,031"
California,New York,"24,927","3,680"
California,North Carolina,"8,873","2,194"
California,North Dakota,466,441
California,Ohio,"6,471","2,777"
California,Oklahoma,"2,694","1,455"
California,Oregon,"17,954","4,037"
California,Pennsylvania,"9,266","2,532"
California,Rhode Island,"1,458","1,002"
California,South Carolina,"6,955","1,938"
California,South Dakota,697,388
California,Tennessee,"7,972","3,477"
California,Texas,"45,447","6,640"
California,Utah,"8,564","2,267"
California,Vermont,403,280
California,Virginia,"18,100","4,368"
California,Washington,"26,956","4,931"
California,West Virginia,"1,037",729
California,Wisconsin,"4,050","1,636"
California,Wyoming,"1,036",585
California,Puerto Rico,"1,572",665
California,U.S. Island Areas,"1,502",585
California,Foreign country,"303,793","16,090"
Colorado,Alabama,"2,028",705
Colorado,Alaska,"3,700","1,512"
Colorado,Arizona,"9,762","2,707"
Colorado,Arkansas,577,554
Colorado,California,"19,717","3,479"
Colorado,Colorado,X,X
Colorado,Connecticut,"1,822",886
Colorado,Delaware,N,N
Colorado,District of Columbia ,N,N
Colorado,Florida,"12,564","3,529"
Colorado,Georgia,"3,896","1,574"
Colorado,Hawaii,"1,815","1,836"
Colorado,Idaho,"2,345","1,075"
Colorado,Illinois,"4,552","1,348"
Colorado,Indiana,"3,212","1,612"
Colorado,Iowa,"2,142",911
Colorado,Kansas,"1,737",749
Colorado,Kentucky,"1,441",793
Colorado,Louisiana,"1,780","1,219"
Colorado,Maine,285,364
Colorado,Maryland,"2,138","1,195"
Colorado,Massachusetts,"2,050",861
Colorado,Michigan,"2,538","1,060"
Colorado,Minnesota,"2,816","1,140"
Colorado,Mississippi,495,694
Colorado,Missouri,"3,746","1,516"
Colorado,Montana,864,462
Colorado,Nebraska,"3,243","1,345"
Colorado,Nevada,"1,823","1,020"
Colorado,New Hampshire,454,344
Colorado,New Jersey,"1,423",699
Colorado,New Mexico,"5,593","1,771"
Colorado,New York,"3,792","1,352"
Colorado,North Carolina,"5,537","2,093"
Colorado,North Dakota,535,464
Colorado,Ohio,"3,306","1,412"
Colorado,Oklahoma,"5,402","3,244"
Colorado,Oregon,"2,363","1,213"
Colorado,Pennsylvania,"3,623","1,301"
Colorado,Rhode Island,N,N
Colorado,South Carolina,958,476
Colorado,South Dakota,390,250
Colorado,Tennessee,"3,653","2,007"
Colorado,Texas,"27,574","4,594"
Colorado,Utah,"5,387","1,847"
Colorado,Vermont,225,211
